EmpID,EmployeeEmail,EmploymentStatus,ExitDate,Account_id,AccountEmail,AccountCreatedAt,AccountUpdatedAt,Role
EMP000154,surya.bhat.154@company.com,Exited,2024-02-07,6a85866246e7ff0726d4be64,surya.bhat.154@company.com,2026-08-19T10:31:09.611595+00:00,2026-08-19T10:31:09.611595+00:00,EMPLOYEE
EMP000222,nithin.joseph.222@company.com,Exited,2025-08-18,6a85866246e7ff0726d4be68,nithin.joseph.222@company.com,2026-08-19T10:31:10.960411+00:00,2026-08-19T10:31:10.960411+00:00,EMPLOYEE
EMP000326,ashwin.varma.326@company.com,Exited,2022-11-17,6a85866246e7ff0726d4be6e,ashwin.varma.326@company.com,2026-08-19T10:31:13.750605+00:00,2026-08-19T10:31:13.750605+00:00,EMPLOYEE
EMP000343,manish.dsouza.343@company.com,Exited,2025-02-06,6a85866246e7ff0726d4be70,manish.dsouza.343@company.com,2026-08-19T10:31:14.620697+00:00,2026-08-19T10:31:14.620697+00:00,EMPLOYEE
EMP000026,lakshmi.varma.26@company.com,Exited,2024-09-21,6a85866246e7ff0726d4be73,lakshmi.varma.26@company.com,2026-08-19T10:31:15.801688+00:00,2026-08-19T10:31:15.801688+00:00,EMPLOYEE
EMP000135,anjali.tripathi.135@company.com,Exited,2022-12-21,6a85866246e7ff0726d4be8a,anjali.tripathi.135@company.com,2026-08-19T10:31:24.754498+00:00,2026-08-19T10:31:24.754498+00:00,EMPLOYEE
EMP000322,amara.joseph.322@company.com,Exited,2020-03-01,6a85866246e7ff0726d4be97,amara.joseph.322@company.com,2026-08-19T10:31:28.707596+00:00,2026-08-19T10:31:28.707596+00:00,EMPLOYEE
EMP000354,raj.bhat.354@company.com,Exited,2025-01-31,6a85866246e7ff0726d4be98,raj.bhat.354@company.com,2026-08-19T10:31:29.020946+00:00,2026-08-19T10:31:29.020946+00:00,EMPLOYEE
EMP000027,manish.chatterjee.27@company.com,Exited,2025-09-06,6a85866246e7ff0726d4be9b,manish.chatterjee.27@company.com,2026-08-19T10:31:30.335044+00:00,2026-08-19T10:31:30.335044+00:00,EMPLOYEE
EMP000211,yash.malhotra.211@company.com,Exited,2024-12-12,6a85866246e7ff0726d4becc,yash.malhotra.211@company.com,2026-08-19T10:31:47.236795+00:00,2026-08-19T10:31:47.236795+00:00,EMPLOYEE
EMP000067,reshma.kumar.67@company.com,Exited,2026-06-30,6a85866246e7ff0726d4bede,reshma.kumar.67@company.com,2026-08-19T10:31:52.622176+00:00,2026-08-19T10:31:52.622176+00:00,EMPLOYEE
EMP000083,akash.krishnan.83@company.com,Exited,2026-03-29,6a85866246e7ff0726d4bedf,akash.krishnan.83@company.com,2026-08-19T10:31:53.055870+00:00,2026-08-19T10:31:53.055870+00:00,EMPLOYEE
EMP000246,arnav.pillai.246@company.com,Exited,2026-04-11,6a85866246e7ff0726d4bee7,arnav.pillai.246@company.com,2026-08-19T10:31:56.437168+00:00,2026-08-19T10:31:56.437168+00:00,EMPLOYEE
EMP000324,arjun.singh.324@company.com,Exited,2026-01-02,6a85866246e7ff0726d4beec,arjun.singh.324@company.com,2026-08-19T10:31:58.000553+00:00,2026-08-19T10:31:58.000553+00:00,EMPLOYEE
EMP000331,diya.gupta.331@company.com,Exited,2024-12-22,6a85866246e7ff0726d4beed,diya.gupta.331@company.com,2026-08-19T10:31:58.264579+00:00,2026-08-19T10:31:58.264579+00:00,EMPLOYEE
EMP000009,arnav.rao.9@company.com,Exited,2026-07-04,6a85866246e7ff0726d4bf08,arnav.rao.9@company.com,2026-08-19T10:32:05.792354+00:00,2026-08-19T10:32:05.792354+00:00,EMPLOYEE
EMP000123,sanjana.menon.123@company.com,Exited,2021-10-22,6a85866246e7ff0726d4bf10,sanjana.menon.123@company.com,2026-08-19T10:32:08.676796+00:00,2026-08-19T10:32:08.676796+00:00,EMPLOYEE
EMP000192,pooja.yadav.192@company.com,Exited,2022-06-10,6a85866246e7ff0726d4bf14,pooja.yadav.192@company.com,2026-08-19T10:32:10.372257+00:00,2026-08-19T10:32:10.372257+00:00,EMPLOYEE
EMP000005,akshay.jain.5@company.com,Exited,2026-07-03,6a85866246e7ff0726d4bf1d,akshay.jain.5@company.com,2026-08-19T10:32:13.112566+00:00,2026-08-19T10:32:13.112566+00:00,EMPLOYEE
EMP000221,monica.gowda.221@company.com,Exited,2023-02-16,6a85866246e7ff0726d4bf28,monica.gowda.221@company.com,2026-08-19T10:32:19.026065+00:00,2026-08-19T10:32:19.026065+00:00,EMPLOYEE
EMP000237,vishal.iyer.237@company.com,Exited,2026-02-10,6a85866246e7ff0726d4bf29,vishal.iyer.237@company.com,2026-08-19T10:32:19.396626+00:00,2026-08-19T10:32:19.396626+00:00,EMPLOYEE
EMP000242,akshay.yadav.242@company.com,Exited,2023-05-28,6a85866246e7ff0726d4bf2b,akshay.yadav.242@company.com,2026-08-19T10:32:20.028990+00:00,2026-08-19T10:32:20.028990+00:00,EMPLOYEE
EMP000472,vasudha.joseph.472@company.com,Exited,2026-03-11,6a85866246e7ff0726d4bf3e,vasudha.joseph.472@company.com,2026-08-19T10:32:26.655889+00:00,2026-08-19T10:32:26.655889+00:00,EMPLOYEE
EMP000598,shreya.agarwal.598@company.com,Exited,2025-09-27,6a85866246e7ff0726d4bf48,shreya.agarwal.598@company.com,2026-08-19T10:32:29.625215+00:00,2026-08-19T10:32:29.625215+00:00,EMPLOYEE
EMP000613,keerthi.saxena.613@company.com,Exited,2022-05-08,6a85866246e7ff0726d4bf49,keerthi.saxena.613@company.com,2026-08-19T10:32:29.913317+00:00,2026-08-19T10:32:29.913317+00:00,EMPLOYEE
EMP000633,aarav.krishnan.633@company.com,Exited,2026-06-16,6a85866246e7ff0726d4bf4a,aarav.krishnan.633@company.com,2026-08-19T10:32:30.231340+00:00,2026-08-19T10:32:30.231340+00:00,EMPLOYEE
EMP000711,vishal.malhotra.711@company.com,Exited,2024-06-05,6a85866246e7ff0726d4bf5d,vishal.malhotra.711@company.com,2026-08-19T10:32:36.724751+00:00,2026-08-19T10:32:36.724751+00:00,EMPLOYEE
EMP000748,rahul.agarwal.748@company.com,Exited,2024-03-30,6a85866246e7ff0726d4bf5e,rahul.agarwal.748@company.com,2026-08-19T10:32:37.127124+00:00,2026-08-19T10:32:37.127124+00:00,EMPLOYEE
EMP000486,chetan.george.486@company.com,Exited,2026-03-15,6a85866246e7ff0726d4bf65,chetan.george.486@company.com,2026-08-19T10:32:39.954936+00:00,2026-08-19T10:32:39.954936+00:00,EMPLOYEE
EMP000544,sameer.verma.544@company.com,Exited,2026-01-03,6a85866246e7ff0726d4bf69,sameer.verma.544@company.com,2026-08-19T10:32:41.347258+00:00,2026-08-19T10:32:41.347258+00:00,EMPLOYEE
EMP000695,monica.mehta.695@company.com,Exited,2023-07-02,6a85866246e7ff0726d4bf79,monica.mehta.695@company.com,2026-08-19T10:32:46.513626+00:00,2026-08-19T10:32:46.513626+00:00,EMPLOYEE
EMP000471,vaishnavi.gowda.471@company.com,Exited,2025-09-26,6a85866246e7ff0726d4bf99,vaishnavi.gowda.471@company.com,2026-08-19T10:32:56.862507+00:00,2026-08-19T10:32:56.862507+00:00,EMPLOYEE
EMP000559,amara.rao.559@company.com,Exited,2024-12-29,6a85866246e7ff0726d4bf9f,amara.rao.559@company.com,2026-08-19T10:32:58.622470+00:00,2026-08-19T10:32:58.622470+00:00,EMPLOYEE
EMP000580,manish.nair.580@company.com,Exited,2025-10-25,6a85866246e7ff0726d4bfa1,manish.nair.580@company.com,2026-08-19T10:32:59.228028+00:00,2026-08-19T10:32:59.228028+00:00,EMPLOYEE
EMP000437,sahana.iyer.437@company.com,Exited,2026-02-08,6a85866246e7ff0726d4bfb1,sahana.iyer.437@company.com,2026-08-19T10:33:04.364171+00:00,2026-08-19T10:33:04.364171+00:00,EMPLOYEE
EMP000503,mohan.shah.503@company.com,Exited,2026-04-16,6a85866246e7ff0726d4bfb5,mohan.shah.503@company.com,2026-08-19T10:33:06.343234+00:00,2026-08-19T10:33:06.343234+00:00,EMPLOYEE
EMP000553,vishal.shah.553@company.com,Exited,2021-02-26,6a85871a46e7ff0726d4bfb9,vishal.shah.553@company.com,2026-08-19T10:33:09.941302+00:00,2026-08-19T10:33:09.941302+00:00,EMPLOYEE
EMP000614,madhav.prasad.614@company.com,Exited,2026-02-20,6a85871a46e7ff0726d4bfbc,madhav.prasad.614@company.com,2026-08-19T10:33:10.976078+00:00,2026-08-19T10:33:10.976078+00:00,EMPLOYEE
EMP000701,sakshi.sharma.701@company.com,Exited,2025-05-20,6a85871a46e7ff0726d4bfd9,sakshi.sharma.701@company.com,2026-08-19T10:33:21.180948+00:00,2026-08-19T10:33:21.180948+00:00,EMPLOYEE
EMP000592,rakesh.yadav.592@company.com,Exited,2023-10-28,6a85871a46e7ff0726d4bff1,rakesh.yadav.592@company.com,2026-08-19T10:33:28.152623+00:00,2026-08-19T10:33:28.152623+00:00,EMPLOYEE
EMP000422,manish.joseph.422@company.com,Exited,2026-06-22,6a85871a46e7ff0726d4bfff,manish.joseph.422@company.com,2026-08-19T10:33:34.895035+00:00,2026-08-19T10:33:34.895035+00:00,EMPLOYEE
EMP000398,aditya.agarwal.398@company.com,Exited,2025-11-29,6a85871a46e7ff0726d4c011,aditya.agarwal.398@company.com,2026-08-19T10:33:40.576496+00:00,2026-08-19T10:33:40.576496+00:00,EMPLOYEE
EMP000426,naveen.varma.426@company.com,Exited,2024-01-03,6a85871a46e7ff0726d4c013,naveen.varma.426@company.com,2026-08-19T10:33:41.172578+00:00,2026-08-19T10:33:41.172578+00:00,EMPLOYEE
EMP000522,swathi.joseph.522@company.com,Exited,2026-06-06,6a85871a46e7ff0726d4c015,swathi.joseph.522@company.com,2026-08-19T10:33:41.914328+00:00,2026-08-19T10:33:41.914328+00:00,EMPLOYEE
EMP000546,shyam.pillai.546@company.com,Exited,2022-10-22,6a85871a46e7ff0726d4c016,shyam.pillai.546@company.com,2026-08-19T10:33:42.283399+00:00,2026-08-19T10:33:42.283399+00:00,EMPLOYEE
EMP000554,aarav.bhat.554@company.com,Exited,2026-03-08,6a85871a46e7ff0726d4c019,aarav.bhat.554@company.com,2026-08-19T10:33:43.200748+00:00,2026-08-19T10:33:43.200748+00:00,EMPLOYEE
EMP000691,harini.banerjee.691@company.com,Exited,2025-01-22,6a85871a46e7ff0726d4c01f,harini.banerjee.691@company.com,2026-08-19T10:33:44.772278+00:00,2026-08-19T10:33:44.772278+00:00,EMPLOYEE
EMP000698,pradeep.agarwal.698@company.com,Exited,2026-01-28,6a85871a46e7ff0726d4c021,pradeep.agarwal.698@company.com,2026-08-19T10:33:45.361485+00:00,2026-08-19T10:33:45.361485+00:00,EMPLOYEE
EMP000729,harish.mathew.729@company.com,Exited,2025-12-28,6a85871a46e7ff0726d4c025,harish.mathew.729@company.com,2026-08-19T10:33:46.747246+00:00,2026-08-19T10:33:46.747246+00:00,EMPLOYEE
EMP000385,sakshi.tripathi.385@company.com,Exited,2025-06-23,6a85871a46e7ff0726d4c02b,sakshi.tripathi.385@company.com,2026-08-19T10:33:48.289627+00:00,2026-08-19T10:33:48.289627+00:00,EMPLOYEE
EMP000611,divya.malhotra.611@company.com,Exited,2024-06-04,6a85871a46e7ff0726d4c038,divya.malhotra.611@company.com,2026-08-19T10:33:52.273888+00:00,2026-08-19T10:33:52.273888+00:00,EMPLOYEE
EMP000399,akash.pandey.399@company.com,Exited,2024-10-02,6a85871a46e7ff0726d4c040,akash.pandey.399@company.com,2026-08-19T10:33:55.412031+00:00,2026-08-19T10:33:55.412031+00:00,EMPLOYEE
EMP000389,siddharth.bose.389@company.com,Exited,2025-11-30,6a85871a46e7ff0726d4c050,siddharth.bose.389@company.com,2026-08-19T10:34:02.263707+00:00,2026-08-19T10:34:02.263707+00:00,EMPLOYEE
EMP000488,dev.kapoor.488@company.com,Exited,2024-10-27,6a85871a46e7ff0726d4c055,dev.kapoor.488@company.com,2026-08-19T10:34:03.917552+00:00,2026-08-19T10:34:03.917552+00:00,EMPLOYEE
EMP000601,swathi.sharma.601@company.com,Exited,2019-07-20,6a85871a46e7ff0726d4c05c,swathi.sharma.601@company.com,2026-08-19T10:34:06.313343+00:00,2026-08-19T10:34:06.313343+00:00,EMPLOYEE
EMP000405,ashwin.jain.405@company.com,Exited,2025-06-03,6a85871a46e7ff0726d4c067,ashwin.jain.405@company.com,2026-08-19T10:34:09.817760+00:00,2026-08-19T10:34:09.817760+00:00,EMPLOYEE
EMP000519,shreya.desai.519@company.com,Exited,2023-01-29,6a85871a46e7ff0726d4c06f,shreya.desai.519@company.com,2026-08-19T10:34:12.557333+00:00,2026-08-19T10:34:12.557333+00:00,EMPLOYEE
EMP000534,keerthi.mukherjee.534@company.com,Exited,2026-06-11,6a85871a46e7ff0726d4c070,keerthi.mukherjee.534@company.com,2026-08-19T10:34:12.836159+00:00,2026-08-19T10:34:12.836159+00:00,EMPLOYEE
EMP000552,vidya.patel.552@company.com,Exited,2024-10-28,6a85871a46e7ff0726d4c071,vidya.patel.552@company.com,2026-08-19T10:34:13.148277+00:00,2026-08-19T10:34:13.148277+00:00,EMPLOYEE
EMP000704,shyam.bhat.704@company.com,Exited,2026-05-28,6a85871a46e7ff0726d4c07c,shyam.bhat.704@company.com,2026-08-19T10:34:16.488255+00:00,2026-08-19T10:34:16.488255+00:00,EMPLOYEE
EMP000433,raj.krishnan.433@company.com,Exited,2025-12-07,6a85871a46e7ff0726d4c081,raj.krishnan.433@company.com,2026-08-19T10:34:18.604772+00:00,2026-08-19T10:34:18.604772+00:00,EMPLOYEE
EMP000390,simran.naidu.390@company.com,Exited,2023-03-21,6a85871a46e7ff0726d4c091,simran.naidu.390@company.com,2026-08-19T10:34:23.491282+00:00,2026-08-19T10:34:23.491282+00:00,EMPLOYEE
EMP000690,divya.naidu.690@company.com,Exited,2026-01-20,6a85871a46e7ff0726d4c0a7,divya.naidu.690@company.com,2026-08-19T10:34:30.281498+00:00,2026-08-19T10:34:30.281498+00:00,EMPLOYEE
EMP000720,arnav.sinha.720@company.com,Exited,2024-04-04,6a85871a46e7ff0726d4c0aa,arnav.sinha.720@company.com,2026-08-19T10:34:31.333447+00:00,2026-08-19T10:34:31.333447+00:00,EMPLOYEE
EMP000752,rohit.patel.752@company.com,Exited,2025-07-28,6a85871a46e7ff0726d4c0ac,rohit.patel.752@company.com,2026-08-19T10:34:31.963224+00:00,2026-08-19T10:34:31.963224+00:00,EMPLOYEE
EMP000981,nikhil.gupta.981@company.com,Exited,2026-07-13,6a85871a46e7ff0726d4c0b4,nikhil.gupta.981@company.com,2026-08-19T10:34:34.347059+00:00,2026-08-19T10:34:34.347059+00:00,EMPLOYEE
EMP000839,tanvi.bose.839@company.com,Exited,2019-11-23,6a85871a46e7ff0726d4c0b9,tanvi.bose.839@company.com,2026-08-19T10:34:35.690023+00:00,2026-08-19T10:34:35.690023+00:00,EMPLOYEE
EMP000757,sneha.thomas.757@company.com,Exited,2026-04-25,6a85871a46e7ff0726d4c0c1,sneha.thomas.757@company.com,2026-08-19T10:34:37.939538+00:00,2026-08-19T10:34:37.939538+00:00,EMPLOYEE
EMP000889,ishaan.bose.889@company.com,Exited,2025-09-18,6a85871a46e7ff0726d4c0cb,ishaan.bose.889@company.com,2026-08-19T10:34:40.734455+00:00,2026-08-19T10:34:40.734455+00:00,EMPLOYEE
EMP001000,vivek.fernandes.1000@company.com,Exited,2025-09-03,6a85871a46e7ff0726d4c0cf,vivek.fernandes.1000@company.com,2026-08-19T10:34:42.239158+00:00,2026-08-19T10:34:42.239158+00:00,EMPLOYEE
EMP000833,sanjay.krishnan.833@company.com,Exited,2026-01-24,6a85871a46e7ff0726d4c0d4,sanjay.krishnan.833@company.com,2026-08-19T10:34:44.800613+00:00,2026-08-19T10:34:44.800613+00:00,EMPLOYEE
EMP000876,ananya.varma.876@company.com,Exited,2023-01-13,6a85871a46e7ff0726d4c0d8,ananya.varma.876@company.com,2026-08-19T10:34:46.402297+00:00,2026-08-19T10:34:46.402297+00:00,EMPLOYEE
EMP000940,shalini.naidu.940@company.com,Exited,2022-02-20,6a85871a46e7ff0726d4c0da,shalini.naidu.940@company.com,2026-08-19T10:34:46.912860+00:00,2026-08-19T10:34:46.912860+00:00,EMPLOYEE
EMP000980,neha.nair.980@company.com,Exited,2018-06-04,6a85871a46e7ff0726d4c0df,neha.nair.980@company.com,2026-08-19T10:34:48.204827+00:00,2026-08-19T10:34:48.204827+00:00,EMPLOYEE
EMP000906,rahul.thakur.906@company.com,Exited,2023-07-07,6a85871a46e7ff0726d4c0f2,rahul.thakur.906@company.com,2026-08-19T10:34:54.597062+00:00,2026-08-19T10:34:54.597062+00:00,EMPLOYEE
EMP000784,siddharth.mukherjee.784@company.com,Exited,2023-02-14,6a85871a46e7ff0726d4c0fb,siddharth.mukherjee.784@company.com,2026-08-19T10:34:57.084588+00:00,2026-08-19T10:34:57.084588+00:00,EMPLOYEE
EMP000952,akash.patel.952@company.com,Exited,2022-11-11,6a85871a46e7ff0726d4c103,akash.patel.952@company.com,2026-08-19T10:35:01.181157+00:00,2026-08-19T10:35:01.181157+00:00,EMPLOYEE
EMP000838,swathi.kapoor.838@company.com,Exited,2026-06-30,6a85871a46e7ff0726d4c10b,swathi.kapoor.838@company.com,2026-08-19T10:35:04.216522+00:00,2026-08-19T10:35:04.216522+00:00,EMPLOYEE
EMP000861,shalini.malhotra.861@company.com,Exited,2020-12-08,6a85871a46e7ff0726d4c10c,shalini.malhotra.861@company.com,2026-08-19T10:35:04.603369+00:00,2026-08-19T10:35:04.603369+00:00,EMPLOYEE
EMP000871,aditi.gowda.871@company.com,Exited,2021-07-16,6a85871a46e7ff0726d4c10d,aditi.gowda.871@company.com,2026-08-19T10:35:05.260206+00:00,2026-08-19T10:35:05.260206+00:00,EMPLOYEE
EMP000909,riya.rao.909@company.com,Exited,2026-03-18,6a85871a46e7ff0726d4c110,riya.rao.909@company.com,2026-08-19T10:35:06.311190+00:00,2026-08-19T10:35:06.311190+00:00,EMPLOYEE
EMP000884,diya.mukherjee.884@company.com,Exited,2026-08-01,6a85871a46e7ff0726d4c131,diya.mukherjee.884@company.com,2026-08-19T10:35:25.253719+00:00,2026-08-19T10:35:25.253719+00:00,EMPLOYEE
EMP000749,raj.pandey.749@company.com,Exited,2025-05-31,6a85871a46e7ff0726d4c138,raj.pandey.749@company.com,2026-08-19T10:35:30.203351+00:00,2026-08-19T10:35:30.203351+00:00,EMPLOYEE
EMP000768,anirudh.chopra.768@company.com,Exited,2025-01-02,6a85871a46e7ff0726d4c146,anirudh.chopra.768@company.com,2026-08-19T10:35:36.167832+00:00,2026-08-19T10:35:36.167832+00:00,EMPLOYEE
EMP000935,pradeep.tripathi.935@company.com,Exited,2025-07-26,6a85871a46e7ff0726d4c156,pradeep.tripathi.935@company.com,2026-08-19T10:35:42.894506+00:00,2026-08-19T10:35:42.894506+00:00,EMPLOYEE
EMP000930,madhav.nair.930@company.com,Exited,2019-11-20,6a85871a46e7ff0726d4c161,madhav.nair.930@company.com,2026-08-19T10:35:47.234197+00:00,2026-08-19T10:35:47.234197+00:00,EMPLOYEE
EMP000959,bhavana.rao.959@company.com,Exited,2026-01-01,6a85871a46e7ff0726d4c164,bhavana.rao.959@company.com,2026-08-19T10:35:48.315109+00:00,2026-08-19T10:35:48.315109+00:00,EMPLOYEE
EMP000776,pallavi.varma.776@company.com,Exited,2026-04-04,6a85871a46e7ff0726d4c16b,pallavi.varma.776@company.com,2026-08-19T10:35:50.402094+00:00,2026-08-19T10:35:50.402094+00:00,EMPLOYEE
EMP000860,sameer.joshi.860@company.com,Exited,2026-04-21,6a85871a46e7ff0726d4c172,sameer.joshi.860@company.com,2026-08-19T10:35:53.193403+00:00,2026-08-19T10:35:53.193403+00:00,EMPLOYEE
EMP000933,nithin.krishnan.933@company.com,Exited,2025-09-11,6a85871a46e7ff0726d4c180,nithin.krishnan.933@company.com,2026-08-19T10:35:57.509323+00:00,2026-08-19T10:35:57.509323+00:00,EMPLOYEE
EMP000762,vikram.kulkarni.762@company.com,Exited,2025-03-19,6a85871a46e7ff0726d4c187,vikram.kulkarni.762@company.com,2026-08-19T10:35:59.899574+00:00,2026-08-19T10:35:59.899574+00:00,EMPLOYEE
EMP000879,ashwin.mathew.879@company.com,Exited,2023-07-19,6a85871a46e7ff0726d4c193,ashwin.mathew.879@company.com,2026-08-19T10:36:03.986017+00:00,2026-08-19T10:36:03.986017+00:00,EMPLOYEE
EMP000846,anjali.pillai.846@company.com,Exited,2026-01-29,6a85871a46e7ff0726d4c19f,anjali.pillai.846@company.com,2026-08-19T10:36:07.226570+00:00,2026-08-19T10:36:07.226570+00:00,EMPLOYEE
EMP000922,yash.joseph.922@company.com,Exited,2023-07-23,6a85871a46e7ff0726d4c1a3,yash.joseph.922@company.com,2026-08-19T10:36:08.326310+00:00,2026-08-19T10:36:08.326310+00:00,EMPLOYEE
EMP000991,sanjay.banerjee.991@company.com,Exited,2025-08-05,6a85871a46e7ff0726d4c1a7,sanjay.banerjee.991@company.com,2026-08-19T10:36:09.374423+00:00,2026-08-19T10:36:09.374423+00:00,EMPLOYEE
EMP001161,abhinav.malhotra.1161@company.com,Exited,2025-12-09,6a8588c8e44c4693789d8754,abhinav.malhotra.1161@company.com,2026-08-19T10:40:32.611585+00:00,2026-08-19T10:40:32.611585+00:00,EMPLOYEE
EMP001223,raj.menon.1223@company.com,Exited,2026-03-04,6a8588c8e44c4693789d8756,raj.menon.1223@company.com,2026-08-19T10:40:33.597514+00:00,2026-08-19T10:40:33.597514+00:00,EMPLOYEE
EMP001243,divya.dsouza.1243@company.com,Exited,2024-01-12,6a8588c8e44c4693789d875a,divya.dsouza.1243@company.com,2026-08-19T10:40:35.053225+00:00,2026-08-19T10:40:35.053225+00:00,EMPLOYEE
EMP001028,aarav.hegde.1028@company.com,Exited,2025-12-08,6a8588c8e44c4693789d8760,aarav.hegde.1028@company.com,2026-08-19T10:40:37.341860+00:00,2026-08-19T10:40:37.341860+00:00,EMPLOYEE
